100	5
0	0	46
1	14	42
2	194	69
3	540	95
4	564	79
5	600	54
6	679	83
7	699	8
8	1193	82
9	1757	54
10	2100	10
11	2229	30
12	2625	11
13	2636	17
14	2796	86
15	2831	21
16	2831	55
17	2842	72
18	2944	82
19	3154	26
20	3224	96
21	3383	74
22	3427	12
23	3450	63
24	3564	12
25	3614	37
26	3748	41
27	3812	6
28	3866	58
29	3885	45
30	3920	37
31	4079	71
32	4117	51
33	4322	48
34	4338	69
35	4850	62
36	5022	22
37	5035	84
38	5179	35
39	5246	19
40	5354	18
41	5367	66
42	5390	72
43	5395	33
44	5398	8
45	5450	14
46	5511	41
47	5577	21
48	5734	43
49	5987	33
50	6151	92
51	6273	99
52	6273	82
53	6397	82
54	6500	92
55	6560	39
56	6708	83
57	6793	56
58	7002	79
59	7167	23
60	7168	66
61	7340	95
62	7511	60
63	7792	42
64	7845	8
65	7900	91
66	7986	20
67	8003	17
68	8146	79
69	8172	43
70	8337	91
71	8783	60
72	8823	30
73	8858	84
74	8859	55
75	8883	60
76	9120	96
77	9308	41
78	9618	78
79	9768	38
80	10205	64
81	10211	88
82	10368	54
83	10458	9
84	10589	46
85	10707	65
86	10820	31
87	10869	66
88	10951	66
89	10974	93
90	11048	39
91	11099	49
92	11142	26
93	11231	23
94	11275	32
95	11610	73
96	11626	68
97	11676	92
98	11724	39
99	11853	16
